id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3303557,"Great view, WIFI, A/C, Estac, lado Parque Arauco",7154794,Graziela,,Las Condes,-33.4008,-70.57303,Entire home/apt,89493,5,117,2022-12-10,1.14,3,320,16,
1552603,Santiago Downtown Touristic 3,5015387,Christian,,Santiago,-33.44625,-70.64898,Entire home/apt,47524,6,2,2021-10-18,0.02,3,364,0,
418760,Adventure in the heart of Santiago,826960,Nené,,Santiago,-33.4335,-70.65314,Entire home/apt,20216,30,79,2022-12-12,0.62,2,93,4,
1602307,Best price apartment Santiago Chile,8538514,Javier,,Santiago,-33.45185,-70.64236,Entire home/apt,25309,2,101,2022-12-14,0.90,1,364,16,
420325,Great apt in the Snow / Chile,2083381,Claudio,,Lo Barnechea,-33.3481,-70.29032,Entire home/apt,561653,7,1,2017-07-25,0.02,1,365,0,
1623156,Bedroom furnished apartment smoking,1693645,María,,Providencia,-33.44083,-70.61375,Private room,25922,30,0,,,2,358,0,
3344348,BEST VIEW 6,1463563,Arnaldo,,Recoleta,-33.43451,-70.63777,Entire home/apt,51845,3,12,2022-11-15,0.14,6,365,5,
429242,Room in Santiago of Chile,2133429,Rodrigo,,Santiago,-33.44431,-70.66853,Private room,43204,2,0,,,1,365,0,
3344356,TURISMO BELLAVISTA Best View 5,1463563,Arnaldo,,Recoleta,-33.43266,-70.63757,Entire home/apt,47524,3,6,2022-03-21,0.06,6,83,1,
1664104,Gran habitación matrimonial baño compartido,7722803,Claudia Alejandra,,Vitacura,-33.39058,-70.57304,Private room,25922,1,48,2022-02-19,0.51,7,32,1,
442241,Room in Bellavista neighborhood,1899907,Paola,,Recoleta,-33.42151,-70.64035,Private room,17282,3,164,2022-09-23,1.27,1,1,16,
3351919,"100% equipped apartment, for foreigners",16909781,Denisse,,Las Condes,-33.40675,-70.55998,Entire home/apt,52709,14,14,2021-10-31,0.25,1,122,0,
444532,"La Parva Apartment ski in & out, wifi",1807307,Casey,,Lo Barnechea,-33.3337,-70.29086,Entire home/apt,370319,4,17,2022-08-12,0.19,1,365,3,
3353002,"",16918740,Esteban,,Santiago,-33.4545,-70.63204,Private room,50860,1,0,,,1,365,0,
1717613,Luxurious Loft Modern Perfect Location Lastarrias,5550648,Juan,,Santiago,-33.43882,-70.64444,Entire home/apt,38633,3,357,2022-12-04,3.20,2,322,9,
447699,Las Condes with a view of the Andes,974151,Raul And Erna,,Las Condes,-33.41772,-70.55737,Entire home/apt,46660,21,17,2022-08-30,0.15,1,278,2,
457634,Room Near Ski,2274626,Isabel,,Lo Barnechea,-33.35668,-70.51047,Private room,172816,1,0,,,1,365,0,
1735170,Oak - Casas del Cerro Loft,9139261,Mabel,,Providencia,-33.41553,-70.60976,Entire home/apt,188491,2,144,2022-12-14,1.32,5,312,34,
3370010,confort y localizacion el barrio el Golf,15395093,Alfonso,,Las Condes,-33.41148,-70.6014,Private room,76903,4,7,2021-04-03,0.17,2,337,0,
465463,Arriendo Departamento Amoblado,2312294,Julio,,Santiago,-33.44324,-70.65651,Entire home/apt,77767,1,0,,,1,365,0,
3385208,Suite Providencia 3 Santiago Chile,244792,Cristián,,Providencia,-33.42895,-70.61804,Entire home/apt,51845,1,43,2019-08-05,0.44,3,89,0,
1735484,Araucaria - Casas del Cerro Loft,9139261,Mabel,,Providencia,-33.41553,-70.60976,Entire home/apt,232809,2,90,2022-12-23,0.82,5,324,19,
1744520,HOM STUDIO1 - ZentenoApartments - Santiago,5634677,Pablo,,Santiago,-33.4457,-70.65216,Entire home/apt,42340,1,49,2021-09-05,0.67,4,0,0,
3400618,departamento en Valle Nevado,17149130,Doris,,Lo Barnechea,-33.35747,-70.24821,Entire home/apt,388837,5,20,2022-08-20,0.20,1,341,3,
499566,I want to live here!,2041286,Patricia,,Santiago,-33.43726,-70.64449,Entire home/apt,34071,30,31,2019-10-31,0.25,3,146,0,
3478776,Gran habitación en casa c/baño priv,7722803,Claudia Alejandra,,Vitacura,-33.39093,-70.57308,Private room,50000,2,38,2022-11-07,0.39,7,87,6,
3518991,room private bathroom exclusive apartment,17714915,Carmen Gloria,,Providencia,-33.42593,-70.59955,Private room,38714,7,5,2017-04-27,0.05,1,365,0,
3519599,Departamento Plaza Italia,17721872,Antonio,,Providencia,-33.43611,-70.63432,Entire home/apt,68262,3,138,2022-12-11,1.37,1,354,11,
3552186,Departamento Santiago Centro,17640260,Ana,,Santiago,-33.43428,-70.65775,Entire home/apt,24194,2,73,2022-12-12,0.71,1,354,26,
3594927,Modern Apartment Providencia/ElGolf,6909021,Angela,,Providencia,-33.42246,-70.5985,Entire home/apt,345633,5,0,,,1,363,0,
3630296,PRIVATES ROOMS   BELLAVISTA,14209151,Carla,,Recoleta,-33.43365,-70.64322,Private room,39998,2,7,2022-09-28,0.10,1,358,4,
1780552,Manquehue Apartment,9175393,Andres,,Las Condes,-33.41191,-70.56742,Hotel room,69127,1,67,2021-02-19,0.60,2,353,0,
1781802,Comfortable Stay in Santiago!,9352533,Alejandro,,Las Condes,-33.42249,-70.57973,Private room,52709,5,2,2014-10-26,0.02,1,365,0,
511558,"private room doble room, nice house",2478975,América Patricia,,Ñuñoa,-33.4508,-70.62406,Private room,13082,7,8,2022-06-05,0.06,7,88,2,
1788327,"A COZY ONE IN ÑUÑOA!! GOING SOLO, METRO LINEA 3",8185219,Roberto,,Ñuñoa,-33.4504,-70.61477,Entire home/apt,21602,10,28,2019-08-13,0.26,2,2,0,
3638433,Cómoda Habitación con baño privado,18353378,Pablo,,Las Condes,-33.40384,-70.56082,Private room,20143,1,75,2022-12-03,2.00,1,328,47,
3638701,DEPARTAMENTO CON VISTA A LA COORDILLERA,2590129,Hector,,Santiago,-33.43328,-70.67608,Private room,30000,2,0,,,1,90,0,
511572,"Welcome to our home to Chile!!!
Muy central.",2478975,América Patricia,,Ñuñoa,-33.4504,-70.61702,Private room,12097,2,5,2017-11-17,0.04,7,119,0,
3664849,"Excellent apartment, best location",18567160,Felipe,,Las Condes,-33.41715,-70.5969,Entire home/apt,77767,3,1,2015-06-03,0.01,1,0,0,
511575,"Te esperamos para compartir!!
Barrio Italia .",2478975,América Patricia,,Ñuñoa,-33.44989,-70.61759,Private room,11354,2,11,2022-03-17,0.09,7,347,2,
3694354,"Valle Nevado, Chile, Ski in-out",2849512,Sandra,,Lo Barnechea,-33.32292,-70.23282,Entire home/apt,518449,7,4,2016-07-09,0.04,1,358,0,
1805957,Cool apartment in Providencia,9461713,Mauricio,,Providencia,-33.43054,-70.61197,Entire home/apt,50000,30,0,,,1,227,0,
1806658,Room  Bellavista Neighbourhood,9468386,Victoria,,Recoleta,-33.42466,-70.64047,Private room,22466,2,0,,,1,362,0,
512167,Tourism / Executive Apartment,1757752,Carlos,,Santiago,-33.44127,-70.64683,Entire home/apt,69127,30,0,,,1,358,0,
3704616,charming room with a beautiful view,18887735,Angelo  Dante,,Santiago,-33.44114,-70.64013,Private room,17282,3,40,2019-10-19,0.41,2,303,0,
513333,Private room in Metro Colon,55685236,María José,,Providencia,-33.42918,-70.59036,Private room,15000,1,71,2019-11-03,0.60,1,242,0,
3735992,"A2 Nice ,comfortable  2B 2B subway at the door!",12319292,Cecilia,,Estación Central,-33.45593,-70.7002,Entire home/apt,109859,1,49,2022-12-23,0.51,7,360,6,
3749617,Quiet & Cosy Room,13577981,Becky,,Providencia,-33.44137,-70.61495,Private room,27000,1,1,2022-12-11,1,1,365,1,
